"";"";"Amaranthaceae";"Asteraceae";"Batis";"Broussasia..flat.lobed.";"Cheirodendron";"Cibotium";"Cyperaceae";"Lycium";"Myrtaceae";"Nestegis";"Pandanus";"Poaceae";"Polyscias";"Prosopis";"Pteris";"Sida";"Taraxacum";"Urticaceae";"Coprosma";"Kadua";"Lycopodiella.cernua";"Myrsine";"Polypodium.pellucidum";"cf..Nothocestrum";"Cyrtandra";"Dodonaea";"Ilex";"Leptecophylla";"Broussasia..round.lobed.";"Chamaesyce";"Diospyros";"Hedyotis";"Isodendrion";"Solanum";"Xylosma";"Artemisia";"Gouania";"Euphorbia.type";"Lepidium";"Platydesma";"Aleurites";"Bobea";"Claoxylon";"Cyanea";"Melicope";"Colubrina";"Gleichenia";"Boerhavia";"Gunnera";"Phyllanthus";"Sesbania";"Waltheria";"Labordia";"Morinda";"Pritchardia";"Santalaceae";"Erythrina";"Acacia";"Rubus";"Tribulus";"Canthium";"Freycinetia";"Rubiaceae";"Lycopodium.venustulum"
"22";846;0,598591546007042;0,0211267608943662;0;0;0,00704225396478873;0,0140845069295775;0;0;0;0;0,00704225396478873;0,211267604943662;0;0;0;0,0140845069295775;0,00704225396478873;0;0,00704225396478873;0;0;0,00704225396478873;0,0211267608943662;0;0;0,0140845069295775;0;0,00704225396478873;0;0;0;0,00704225396478873;0;0;0;0,0211267608943662;0;0;0;0;0;0;0;0;0,00704225396478873;0;0,0281690138591549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";852;0,661111109677778;0,0277777779444444;0;0,00555555598888889;0,0111111109777778;0,0555555558888889;0;0;0;0;0;0,0722222218555556;0;0;0,0388888889222222;0,0111111109777778;0;0;0;0;0;0,0222222219555556;0,0277777779444444;0;0;0,00555555598888889;0;0,0166666669666667;0;0;0;0,0166666669666667;0;0;0;0;0,0222222219555556;0;0;0;0;0;0;0;0;0;0,00555555598888889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";859;0,620320854139037;0,0427807488716578;0;0,00534759398395722;0,00534759398395722;0,0374331548877005;0;0;0;0;0,0160427809518717;0,117647058647059;0;0;0,0106951869679144;0,0213903739358289;0;0;0,00534759398395722;0,0106951869679144;0;0,00534759398395722;0;0;0;0;0;0,00534759398395722;0;0,00534759398395722;0;0,0213903739358289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,048128341855615;0;0;0;0;0;0;0;0,0160427809518717;0;0;0;0;0,00534759398395722;0;0;0;0
"25";865;0,715686273568628;0,0245098039509804;0;0;0,00490196099019608;0,0343137249313726;0;0;0;0;0;0,0735294118529412;0;0;0,0147058819705882;0,00490196099019608;0;0;0;0,00980392198039216;0,00490196099019608;0,0245098039509804;0,00980392198039216;0;0;0,00980392198039216;0;0;0;0,0147058819705882;0;0,00980392198039216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0245098039509804;0;0;0;0;0,00490196099019608;0;0;0,0147058819705882;0;0;0;0;0;0;0;0;0
"26";879;0,777777778;0,015873016;0;0,005291005;0,005291005;0,015873016;0;0;0;0;0;0,121693122;0;0;0,005291005;0,005291005;0;0;0;0;0;0;0;0;0,005291005;0,005291005;0;0;0;0,010582011;0;0,010582011;0;0;0;0,010582011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005291005;0;0;0;0;0;0;0;0;0
"27";889;0,781395348218605;0,0232558139767442;0;0;0;0,00930232599069768;0;0;0;0;0;0,106976743893023;0;0;0;0,0186046509813954;0;0;0;0;0;0,00465116299534884;0,0139534879860465;0;0,0139534879860465;0,00930232599069768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00930232599069768;0;0;0;0;0;0,00465116299534884;0;0,00465116299534884;0;0;0;0
"28";1023;0,733727810266272;0;0;0,00591715999408284;0;0,0473372779526627;0;0;0,0118343199881657;0;0;0,0887573959112426;0;0;0;0;0;0;0,0177514789822485;0;0;0;0,0236686389763314;0;0;0,0118343199881657;0;0;0;0;0;0,00591715999408284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0236686389763314;0;0;0;0;0;0;0;0,0177514789822485;0;0;0;0;0,0118343199881657;0;0;0;0
"29";1296,5;0,695364235913907;0,0331125829006623;0;0;0,0132450329602649;0,0529801318410596;0;0;0;0;0,00662251698013245;0,0662251658013245;0;0;0;0,00662251698013245;0;0;0;0;0,00662251698013245;0,0132450329602649;0,0198675499403974;0;0;0,00662251698013245;0;0,00662251698013245;0;0,0132450329602649;0;0,0198675499403974;0;0;0;0,00662251698013245;0;0;0;0;0;0;0;0;0;0;0,0132450329602649;0;0;0;0;0;0;0;0;0;0;0,0132450329602649;0;0,00662251698013245;0;0;0;0
"30";1859;0,422535209732394;0,0140845069577465;0;0;0,0211267609366197;0,0704225347887324;0;0;0;0;0;0,140845069577465;0;0;0,00704225397887324;0,00704225397887324;0;0;0,0140845069577465;0;0;0,0774647887676056;0,00704225397887324;0;0,0140845069577465;0,0563380278309859;0,0140845069577465;0;0,00704225397887324;0,00704225397887324;0;0;0;0,00704225397887324;0;0,0563380278309859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0492957748521127;0;0;0;0;0;0;0;0,00704225397887324;0
"31";2139;0,101190476;0,005952381;0;0;0,005952381;0,047619048;0;0;0;0;0;0,339285714;0;0;0,005952381;0;0;0;0;0,005952381;0;0,011904762;0,011904762;0;0;0,321428571;0,011904762;0;0;0;0;0;0;0;0;0,047619048;0,005952381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,077380952;0;0;0;0;0;0;0;0;0
"32";2404,5;0,126984126873016;0,015873015984127;0;0;0,119047618880952;0,34126984065873;0;0;0,00793650799206349;0;0;0,0476190479523809;0;0;0,0714285709285714;0,00793650799206349;0;0;0,00793650799206349;0;0;0,00793650799206349;0,015873015984127;0;0,00793650799206349;0,0714285709285714;0,0238095239761905;0,00793650799206349;0;0,00793650799206349;0;0;0;0,031746031968254;0;0,0476190479523809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015873015984127;0;0;0;0;0;0;0;0;0,015873015984127
"33";2536;0,0571428569428571;0,0857142859142857;0;0;0;0,1999999998;0;0;0,0571428569428571;0,0285714289714286;0;0,0285714289714286;0;0;0,0857142859142857;0;0;0;0;0;0;0,114285713885714;0,142857142857143;0;0,0571428569428571;0;0;0,0285714289714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0571428569428571;0;0;0;0;0;0;0,0571428569428571;0;0
"34";2717,5;0,0594059411188119;0,00990099001980198;0;0;0;0,366336634732673;0;0;0,0792079211584159;0,00990099001980198;0;0,0495049500990099;0;0;0,118811881237624;0;0;0;0,00990099001980198;0;0;0,019801980039604;0,0891089111782178;0;0,019801980039604;0,0495049500990099;0,019801980039604;0,00990099001980198;0,019801980039604;0;0;0;0;0;0,0396039600792079;0;0,00990099001980198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00990099001980198;0;0;0;0;0;0;0;0;0,00990099001980198
