"";"";"Amaranthaceae";"Asteraceae.tubuliflorae";"Asteraceae.liguliflorae";"Cyperaceae";"Poaceae";"Pinus";"Artemisia";"Centaurea";"Cirsium.type";"Rosaceae";"Brassicaceae";"Apiaceae";"Morella.Corylus";"Cannabaceae.Ostrya";"Rumex";"Betula";"Fraxinus";"Oleaceae";"Salix";"Solanaceae";"Acacia";"Picea";"Juglans";"Rubiaceae";"CV.1";"Ericaceae";"Euphorbiaceae";"Fabaceae";"Moraceae";"Ficus.type";"Ilex";"Lamiaceae";"Alnus";"Verbenaceae";"CV.2";"Quercus";"Cerealia.type";"Zea.mays";"Carex";"Urticaceae";"Caryophyllaceae";"Sapotaceae.type";"Agavoideae";"Convolvulus"
"26";960;0,076086957076087;0,423913043423913;0,076086957076087;0,119565217119565;0,152173913152174;0,0652173910652174;0,0434782610434783;0;0,0108695650108696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0108695650108696;0;0,0217391300217391;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27";980;0;0,842592593;0,009259259;0;0,092592593;0;0,009259259;0;0;0;0,009259259;0,018518519;0;0;0;0;0,009259259;0;0;0,009259259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";1043;0;0,56043955943956;0,047619047952381;0,00732600699267399;0,296703296703297;0;0,029304028970696;0;0;0;0,010989010989011;0,032967032967033;0,003663003996337;0;0;0;0,003663003996337;0;0;0;0;0;0;0;0;0;0,003663003996337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003663003996337;0;0
"29";1086;0,0159235669840764;0,66878980833121;0,0382165609617834;0,00955413999044586;0,175159235824841;0;0,0318471339681529;0;0;0;0,0159235669840764;0,0382165609617834;0,00318471299681529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00318471299681529;0;0;0;0;0;0;0;0;0
"30";1106;0,033898305;0,440677966;0,033898305;0,016949153;0,313559322;0,008474576;0,059322034;0,008474576;0,016949153;0;0,025423729;0;0,025423729;0;0;0;0,008474576;0;0;0;0;0;0;0;0;0;0,008474576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";1131;0,120300751879699;0,398496240601504;0,0526315789473684;0,112781954887218;0,142857142857143;0,0676691729323308;0,0676691729323308;0;0;0;0,0150375939849624;0;0,0150375939849624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0075187969924812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";1154;0,0212765959574468;0,475177304049645;0,0780141838439716;0;0,191489361617021;0,0070921989858156;0,156028368687943;0;0,0070921989858156;0;0,0283687939432624;0,0212765959574468;0,0070921989858156;0;0;0;0,0070921989858156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33";1474;0,176271185294915;0,203389830186441;0,122033897511864;0,203389830186441;0,193220338227119;0,0440677968237288;0,00677966097288136;0;0;0;0,0237288139050847;0;0,00338983098644068;0;0;0;0;0;0;0;0,00338983098644068;0,00677966097288136;0;0;0;0;0,00338983098644068;0;0,00338983098644068;0;0;0,00338983098644068;0,00338983098644068;0;0;0;0;0;0;0;0;0;0;0
"34";1595,5;0,0315789469684211;0,321052631678947;0,457894736542105;0;0,157894736842105;0;0,0105263159894737;0;0;0;0,0157894739842105;0;0;0;0;0;0;0;0;0;0;0,00526315799473684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";1652,5;0,00724637698550725;0,666666665666667;0,0652173908695652;0,00724637698550725;0,195652173608696;0;0,0144927539710145;0;0;0;0,00724637698550725;0,0144927539710145;0,0144927539710145;0;0;0,00724637698550725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"36";1712,5;0,00462962999074074;0,462962962074074;0,347222221305556;0,018518518962963;0,111111110777778;0;0,00462962999074074;0;0;0;0,0370370369259259;0;0,00462962999074074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00462962999074074;0;0,00462962999074074;0;0;0;0;0;0;0;0;0;0;0
"37";1766;0;0,522471908432584;0,123595505629213;0,00561797798314607;0,168539325494382;0;0,0280898879157303;0;0;0;0,0505617978483146;0,0786516847640449;0,00561797798314607;0;0,00561797798314607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00561797798314607;0;0,00561797798314607;0;0;0;0;0;0;0;0;0;0;0
"38";1821,5;0,235059761;0,243027888;0,035856574;0,099601594;0,151394422;0,06374502;0,087649402;0;0;0;0,023904382;0,027888446;0,003984064;0;0;0;0;0;0;0;0;0,007968127;0;0,003984064;0;0;0,003984064;0;0,003984064;0;0;0;0,003984064;0;0;0;0;0;0;0;0;0;0;0,003984064
"39";1875,5;0,0675675679324324;0,418918918581081;0,175675675824324;0,0472972969527027;0,141891891858108;0;0;0;0;0;0,0675675679324324;0,0810810809189189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"40";1931;0,170731707;0,12195122;0,146341463;0,256097561;0,170731707;0,085365854;0;0;0;0;0,036585366;0,012195122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";1982;0,006920415;0,467128028;0,065743945;0,006920415;0,297577855;0;0,006920415;0;0;0;0,034602076;0,114186851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"42";2037;0;0,375000000375;0,270833333270833;0;0,25000000025;0,0208333330208333;0;0;0;0;0,0208333330208333;0,0625000000625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"43";2088;0,007092199;0,340425532;0,216312057;0,007092199;0,092198582;0;0,042553191;0;0;0;0,141843972;0,138297872;0,003546099;0,003546099;0,003546099;0;0;0;0;0;0;0;0;0,003546099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"44";2147;0;0,187134503;0,339181287;0;0,403508772;0;0,011695906;0;0;0;0,029239766;0,01754386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011695906;0;0;0;0;0;0;0;0;0;0;0;0
