"";"";"Alnus";"Amaranthaceae";"Araliaceae.cf..Didymopanax";"Asteroideae";"cf..Malpighiaceae";"cf..Solanaceae";"Cunoniaceae.cf..Weinmannia";"Dennstaedtiaceae..Hypolepis.type";"Dennstaedtiaceae..Pteridium.type";"Dicranopteris";"Dryopteris.undiff.";"Elaeocarpaceae.cf..Sloanea";"Garrya";"Ilex";"Lamiaceae";"Lophosoria";"Lycopodiella.cernua";"Myrica";"Myrsine";"Pilea";"Pinus";"Poaceae";"Polypodiaceae..Lepisorus.type";"Rubiaceae..Mitracarpus.type";"Rubiaceae..Tocoyena.type";"Sapindaceae..Dodonaea.type";"Urera";"Urticaceae.undiff.";"Cichorioideae";"Cyperaceae";"Pteridaceae..Pityrogramma.type";"Piper";"Hymenophyllaceae";"Loranthaceae";"Melastomataceae";"Polypodiaceae..Polypodium.pellucidum.type";"Unknown..trilete.6.";"Ericaceae";"Lycopodiaceae.cf..Huperzia";"Araliaceae.cf..Oreopanax";"Ophioglossaceae";"Pteridaceae..Pteris.type"
"22";1979;0;0;0;0,021419009021419;0;0;0;0;0,042838019042838;0;0;0;0,021419009021419;0,00267737600267738;0;0,021419009021419;0;0,042838019042838;0,00535475200535475;0;0,0468540830468541;0,586345382586345;0,0107095050107095;0,00267737600267738;0;0;0;0;0;0,00267737600267738;0;0,15261044215261;0,0187416330187416;0,00803212900803213;0;0,00267737600267738;0,00535475200535475;0;0,00267737600267738;0;0,00267737600267738;0
"23";2179,5;0;0;0;0,02457002504914;0;0;0;0;0,0319410320638821;0,00491400500982801;0;0;0,014742015029484;0;0;0,0294840290589681;0,002457002004914;0,01228501202457;0,014742015029484;0;0,0565110571130221;0,636363637272727;0,01228501202457;0,01228501202457;0;0;0;0;0;0;0;0,13513513527027;0,00737100701474201;0;0;0,002457002004914;0;0,002457002004914;0;0;0;0
"24";2423;0;0,002614379;0;0,020915033;0;0;0;0;0,020915033;0;0;0;0,018300654;0;0;0,031372549;0;0,036601307;0,002614379;0,002614379;0,037908497;0,614379085;0,002614379;0,007843137;0;0;0;0;0;0;0;0,175163399;0,002614379;0,007843137;0;0,005228758;0;0;0;0;0,010457516;0
"25";2788;0;0;0;0,0271493209728507;0;0;0;0;0,0271493209728507;0,00603318299396682;0;0;0,00603318299396682;0,00301659099698341;0,00301659099698341;0,0120663649879336;0;0,015082955984917;0,00603318299396682;0;0,0346907989653092;0,624434388375566;0,0211161389788839;0,00603318299396682;0;0;0;0;0;0;0;0,177978883822021;0,0120663649879336;0;0;0,00301659099698341;0;0,00603318299396682;0;0,00301659099698341;0,00603318299396682;0
"26";3160;0;0;0;0,0209973749790026;0;0;0,00262467199737533;0;0,0393700789606299;0,00524934399475066;0;0;0,0472440939527559;0,00262467199737533;0;0,0288713909711286;0;0,00787401599212598;0,00524934399475066;0;0,0551181099448819;0,514435695485564;0,00787401599212598;0,0183727029816273;0;0;0;0,00262467199737533;0;0;0;0,194225721805774;0,0341207349658793;0,00262467199737533;0,00262467199737533;0,00524934399475066;0;0;0;0;0;0,00262467199737533
"27";3537;0;0;0;0,0264200789735799;0;0;0;0;0,0528401589471598;0,00528401599471598;0;0;0,0184940549815059;0;0;0,0211360629788639;0;0,0184940549815059;0,00264200799735799;0,00264200799735799;0,0488771469511229;0,55217965644782;0,015852047984148;0,00792602399207398;0;0;0;0;0;0;0;0,198150593801849;0,015852047984148;0,00264200799735799;0;0;0,00264200799735799;0,00264200799735799;0,00264200799735799;0;0,00264200799735799;0
"28";3923;0;0;0;0,0205278590615836;0;0;0;0;0,0645161291935484;0;0;0;0,0146627570439883;0;0;0,0322580650967742;0;0,0410557181231672;0,00293255100879765;0;0,0498533721495601;0,554252200662757;0,0117302050351906;0,0117302050351906;0,00293255100879765;0;0;0;0;0;0,00293255100879765;0,164222874492669;0,0146627570439883;0,00293255100879765;0;0,00293255100879765;0,00293255100879765;0;0;0;0;0,00293255100879765
"29";4237;0;0;0,002328289;0,025611176;0;0;0;0;0,034924331;0;0;0;0,039580908;0,004656577;0;0,037252619;0;0,030267753;0,011641444;0;0,029103609;0,533178114;0,011641444;0,004656577;0;0;0;0;0;0;0;0,181606519;0,034924331;0;0,006984866;0,004656577;0;0;0;0;0,006984866;0
"30";4365;0;0;0;0,0208023770416048;0;0;0;0;0,0267459140534918;0,00297176800594354;0;0;0,0594353641188707;0;0,00297176800594354;0,0356612180713224;0;0,0148588410297177;0,00594353601188707;0;0,0490341750980684;0,502228827004458;0,00594353601188707;0,0148588410297177;0;0;0;0;0;0;0;0,231797920463596;0,0237741460475483;0;0;0,00297176800594354;0;0;0;0;0;0
"31";4493,5;0;0;0;0,00505050498484848;0,00252525299242424;0;0;0;0,0378787878863636;0;0;0;0,0530303028409091;0;0;0,00252525299242424;0;0,0227272729318182;0,00252525299242424;0;0,0328282829015151;0,426767675719697;0,0202020199393939;0,010101009969697;0;0;0;0;0;0;0,00252525299242424;0,31565656505303;0,0580808078257576;0,00252525299242424;0,00505050498484848;0;0;0;0;0;0;0
"32";4617,5;0;0;0;0,00712589099287411;0;0;0;0;0,0403800479596199;0,0023752969976247;0;0;0,0213776719786223;0,0023752969976247;0;0,0736342039263658;0;0,00712589099287411;0,0166270779833729;0;0,023752968976247;0,437054631562945;0,0190023749809976;0,0023752969976247;0;0;0;0;0;0;0,0023752969976247;0,275534441724466;0,0570071259429929;0,00475059399524941;0;0,0023752969976247;0,0023752969976247;0;0;0,0023752969976247;0;0
"33";4743;0;0,00263852200263852;0;0,0158311350158311;0;0;0;0;0,0237467020237467;0;0;0;0,0211081790211082;0,00791556700791557;0;0,0290237470290237;0;0,0158311350158311;0,00263852200263852;0;0,0211081790211082;0,493403694493404;0,0263852240263852;0,00527704500527704;0;0;0;0;0;0;0;0,282321900282322;0,0395778360395778;0,00527704500527704;0;0,00527704500527704;0;0,00263852200263852;0;0;0;0
"34";4869;0;0;0;0,0177890719822109;0;0;0;0;0,025412960974587;0;0;0;0,0279542569720457;0,0025412959974587;0,0025412959974587;0,0279542569720457;0;0,0127064799872935;0,0025412959974587;0;0,021601016978399;0,442185514557815;0,0304955529695045;0,00508259199491741;0,0025412959974587;0;0;0;0;0;0;0,33290978366709;0,0406607369593393;0;0;0,0025412959974587;0,0025412959974587;0;0;0;0;0
"35";4993;0;0;0;0,017743979982256;0;0;0;0;0,0405576679594423;0;0;0;0,0304182509695817;0,0126742709873257;0;0,0380228139619772;0;0,0278833969721166;0;0;0,0114068439885932;0,367553865632446;0,0278833969721166;0,017743979982256;0;0;0;0;0;0;0;0,359949302640051;0,0430925219569075;0,00253485399746515;0;0;0;0,00253485399746515;0;0;0;0
